quote,name,link
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,https://quotes.toscrape.com/author/Jane-Austen
"“Imperfection is beauty, madness is genius and its better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe
“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein
“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,https://quotes.toscrape.com/author/Andre-Gide
"“I have not failed. Ive just found 10,000 ways that wont work.”",Thomas A. Edison,https://quotes.toscrape.com/author/Thomas-A-Edison
“A woman is like a tea bag; you never know how strong it is until its in hot water.”,Eleanor Roosevelt,https://quotes.toscrape.com/author/Eleanor-Roosevelt
"“A day without sunshine is like, you know, night.”",Steve Martin,https://quotes.toscrape.com/author/Steve-Martin
"“This life is what you make it. No matter what, youre going to mess up sometimes, its a universal truth. But the good part is you get to decide how youre going to mess it up. Girls will be your friends - theyll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - theyre your true best friends. Dont let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, theyll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you cant give up because if you give up, youll never find your soulmate. Youll never find that half who makes you whole and that goes for everything. Just because you fail once, doesnt mean youre gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you dont, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because lifes a beautiful thing and theres so much to smile about.”",Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe
"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling
"“If you cant explain it to a six year old, you dont understand it yourself.”",Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein
"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? Shes not perfect—you arent either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So dont hurt her, dont change her, dont analyze and dont expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when shes not there.”",Bob Marley,https://quotes.toscrape.com/author/Bob-Marley
"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",Dr. Seuss,https://quotes.toscrape.com/author/Dr-Seuss
"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",Douglas Adams,https://quotes.toscrape.com/author/Douglas-Adams
"“The opposite of love is not hate, its indifference. The opposite of art is not ugliness, its indifference. The opposite of faith is not heresy, its indifference. And the opposite of life is not death, its indifference.”",Elie Wiesel,https://quotes.toscrape.com/author/Elie-Wiesel
"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche,https://quotes.toscrape.com/author/Friedrich-Nietzsche
"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,https://quotes.toscrape.com/author/Mark-Twain
“Life is what happens to us while we are making other plans.”,Allen Saunders,https://quotes.toscrape.com/author/Allen-Saunders
"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Pablo Neruda,https://quotes.toscrape.com/author/Pablo-Neruda
“For every minute you are angry you lose sixty seconds of happiness.”,Ralph Waldo Emerson,https://quotes.toscrape.com/author/Ralph-Waldo-Emerson
"“If you judge people, you have no time to love them.”",Mother Teresa,https://quotes.toscrape.com/author/Mother-Teresa
“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,Garrison Keillor,https://quotes.toscrape.com/author/Garrison-Keillor
“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson,https://quotes.toscrape.com/author/Jim-Henson
"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",Dr. Seuss,https://quotes.toscrape.com/author/Dr-Seuss
"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein
"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling
“Logic will get you from A to Z; imagination will get you everywhere.”,Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein
"“One good thing about music, when it hits you, you feel no pain.”",Bob Marley,https://quotes.toscrape.com/author/Bob-Marley
"“The more that you read, the more things you will know. The more that you learn, the more places youll go.”",Dr. Seuss,https://quotes.toscrape.com/author/Dr-Seuss
"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling
"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley,https://quotes.toscrape.com/author/Bob-Marley
“Not all of us can do great things. But we can do small things with great love.”,Mother Teresa,https://quotes.toscrape.com/author/Mother-Teresa
"“To the well-organized mind, death is but the next great adventure.”",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling
“All you need is love. But a little chocolate now and then doesnt hurt.”,Charles M. Schulz,https://quotes.toscrape.com/author/Charles-M-Schulz
“We read to know were not alone.”,William Nicholson,https://quotes.toscrape.com/author/William-Nicholson
“Any fool can know. The point is to understand.”,Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein
“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges,https://quotes.toscrape.com/author/Jorge-Luis-Borges
“It is never too late to be what you might have been.”,George Eliot,https://quotes.toscrape.com/author/George-Eliot
"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",George R.R. Martin,https://quotes.toscrape.com/author/George-R-R-Martin
“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis,https://quotes.toscrape.com/author/C-S-Lewis
“You believe lies so you eventually learn to trust no one but yourself.”,Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe
"“If you can make a woman laugh, you can make her do anything.”",Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe
"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein
“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe
"“A wise girl kisses but doesnt love, listens but doesnt believe, and leaves before she is left.”",Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe
“Only in the darkness can you see the stars.”,Martin Luther King Jr.,https://quotes.toscrape.com/author/Martin-Luther-King-Jr
"“It matters not what someone is born, but what they grow to be.”",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling
"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",James Baldwin,https://quotes.toscrape.com/author/James-Baldwin
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Jane Austen,https://quotes.toscrape.com/author/Jane-Austen
“Do one thing every day that scares you.”,Eleanor Roosevelt,https://quotes.toscrape.com/author/Eleanor-Roosevelt
"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe
"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein
"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",Haruki Murakami,https://quotes.toscrape.com/author/Haruki-Murakami
“The difference between genius and stupidity is: genius has its limits.”,Alexandre Dumas fils,https://quotes.toscrape.com/author/Alexandre-Dumas-fils
"“Hes like a drug for you, Bella.”",Stephenie Meyer,https://quotes.toscrape.com/author/Stephenie-Meyer
“There is no friend as loyal as a book.”,Ernest Hemingway,https://quotes.toscrape.com/author/Ernest-Hemingway
"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller,https://quotes.toscrape.com/author/Helen-Keller
“Life isnt about finding yourself. Life is about creating yourself.”,George Bernard Shaw,https://quotes.toscrape.com/author/George-Bernard-Shaw
"“Thats the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",Charles Bukowski,https://quotes.toscrape.com/author/Charles-Bukowski
“You don’t forget the face of the person who was your last hope.”,Suzanne Collins,https://quotes.toscrape.com/author/Suzanne-Collins
"“Remember, were madly in love, so its all right to kiss me anytime you feel like it.”",Suzanne Collins,https://quotes.toscrape.com/author/Suzanne-Collins
"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”",C.S. Lewis,https://quotes.toscrape.com/author/C-S-Lewis
“Not all those who wander are lost.”,J.R.R. Tolkien,https://quotes.toscrape.com/author/J-R-R-Tolkien
"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling
